observation_date,CUUR0000SETB01_CCH
1950-01-01,-2.65268
1950-04-01,1.06953
1950-07-01,1.58315
1950-10-01,1.55847
1951-01-01,0.51414
1951-04-01,0.00000
1951-07-01,-1.03094
1951-10-01,2.55768
1952-01-01,1.00503
1952-04-01,0.49875
1952-07-01,0.49628
1952-10-01,-1.49629
1953-01-01,3.94140
1953-04-01,0.96155
1953-07-01,5.12933
1953-10-01,-0.45558
1954-01-01,0.00000
1954-04-01,-0.45767
1954-07-01,-0.92167
1954-10-01,0.00000
1955-01-01,0.92167
1955-04-01,1.36676
1955-07-01,0.90091
1955-10-01,0.89286
1956-01-01,0.00000
1956-04-01,0.88496
1956-07-01,3.03711
1956-10-01,-0.85837
1957-01-01,2.13228
1957-04-01,0.97971
1957-07-01,-0.69881
1957-10-01,-0.28090
1958-01-01,-1.13155
1958-04-01,-0.71378
1958-07-01,2.68567
1958-10-01,-3.11640
1959-01-01,0.00000
1959-04-01,1.71188
1959-07-01,0.84508
1959-10-01,2.76643
1960-01-01,-1.51206
1960-04-01,0.13841
1960-07-01,2.72868
1960-10-01,-0.26954
1961-01-01,-0.81301
1961-04-01,-3.60150
1961-07-01,3.05579
1961-10-01,-0.96221
1962-01-01,-0.41523
1962-04-01,1.10346
1962-07-01,-0.55021
1962-10-01,2.04785
1963-01-01,-0.81412
1963-04-01,-1.92578
1963-07-01,1.51622
1963-10-01,-0.68634
1964-01-01,
1964-04-01,
1964-07-01,
1964-10-01,
1965-01-01,
1965-04-01,
1965-07-01,
1965-10-01,
1966-01-01,0.39604
1966-04-01,0.78741
1966-07-01,1.55645
1966-10-01,0.38536
1967-01-01,0.51151
1967-04-01,1.14142
1967-07-01,0.50315
1967-10-01,-0.12555
1968-01-01,0.75094
1968-04-01,-0.50000
1968-07-01,1.12151
1968-10-01,0.12384
1969-01-01,1.35220
1969-04-01,2.17400
1969-07-01,-0.23923
1969-10-01,-0.48019
1970-01-01,-0.72464
1970-04-01,1.92083
1970-07-01,-0.47676
1970-10-01,1.18766
1971-01-01,-0.47337
1971-04-01,-2.03722
1971-07-01,2.51059
1971-10-01,0.58858
1972-01-01,-1.29949
1972-04-01,-0.47676
1972-07-01,2.71083
1972-10-01,1.50032
1973-01-01,1.02565
1973-04-01,4.10941
1973-07-01,2.15294
1973-10-01,6.69318
1974-01-01,16.06746
1974-04-01,10.07698
1974-07-01,1.21953
1974-10-01,-4.25596
1975-01-01,0.55183
1975-04-01,3.62834
1975-07-01,7.16681
1975-10-01,-0.77932
1976-01-01,-1.93902
1976-04-01,0.21731
1976-07-01,3.97215
1976-10-01,0.13899
1977-01-01,0.82988
