observation_date,GDPC1_CCH
1950-01-01,3.85636
1950-04-01,3.00531
1950-07-01,3.79224
1950-10-01,1.89685
1951-01-01,1.34882
1951-04-01,1.71730
1951-07-01,2.03906
1951-10-01,0.21871
1952-01-01,1.06127
1952-04-01,0.21407
1952-07-01,0.71864
1952-10-01,3.23118
1953-01-01,1.84197
1953-04-01,0.77012
1953-07-01,-0.56410
1953-10-01,-1.52529
1954-01-01,-0.47871
1954-04-01,0.10935
1954-07-01,1.12336
1954-10-01,1.93806
1955-01-01,2.81656
1955-04-01,1.61444
1955-07-01,1.34178
1955-10-01,0.59887
1956-01-01,-0.38880
1956-04-01,0.82318
1956-07-01,-0.08974
1956-10-01,1.63251
1957-01-01,0.63823
1957-04-01,-0.21938
1957-07-01,0.97515
1957-10-01,-1.03993
1958-01-01,-2.63019
1958-04-01,0.65475
1958-07-01,2.28676
1958-10-01,2.31131
1959-01-01,1.90024
1959-04-01,2.22842
1959-07-01,0.06970
1959-10-01,0.28458
1960-01-01,2.22372
1960-04-01,-0.53981
1960-07-01,0.48873
1960-10-01,-1.29143
1961-01-01,0.67275
1961-04-01,1.68360
1961-07-01,1.90216
1961-10-01,1.94268
1962-01-01,1.76794
1962-04-01,0.90069
1962-07-01,1.22207
1962-10-01,0.32886
1963-01-01,1.08617
1963-04-01,1.11616
1963-07-01,2.17501
1963-10-01,0.65376
1964-01-01,2.08679
1964-04-01,1.08318
1964-07-01,1.55052
1964-10-01,0.30871
1965-01-01,2.39109
1965-04-01,1.25556
1965-07-01,2.19881
1965-10-01,2.27776
1966-01-01,2.40469
1966-04-01,0.34089
1966-07-01,0.84327
1966-10-01,0.81706
1967-01-01,0.88189
1967-04-01,0.06133
1967-07-01,0.94163
1967-10-01,0.75103
1968-01-01,2.01876
1968-04-01,1.65658
1968-07-01,0.77153
1968-10-01,0.39200
1969-01-01,1.55232
1969-04-01,0.30289
1969-07-01,0.65778
1969-10-01,-0.48940
1970-01-01,-0.14900
1970-04-01,0.14162
1970-07-01,0.91725
1970-10-01,-1.07736
1971-01-01,2.67992
1971-04-01,0.53936
1971-07-01,0.81908
1971-10-01,0.23459
1972-01-01,1.82054
1972-04-01,2.24392
1972-07-01,0.93966
1972-10-01,1.66057
1973-01-01,2.44481
1973-04-01,1.08286
1973-07-01,-0.52723
1973-10-01,0.94475
1974-01-01,-0.86342
1974-04-01,0.23741
1974-07-01,-0.94977
1974-10-01,-0.38916
1975-01-01,-1.22511
1975-04-01,0.71216
1975-07-01,1.69755
1975-10-01,1.33810
1976-01-01,2.22454
1976-04-01,0.73070
1976-07-01,0.54591
1976-10-01,0.72001
1977-01-01,1.17925
1977-04-01,1.92331
1977-07-01,1.78710
1977-10-01,0.00199
1978-01-01,0.31933
1978-04-01,3.79196
1978-07-01,1.00072
1978-10-01,1.33517
1979-01-01,0.17943
1979-04-01,0.10669
1979-07-01,0.74006
1979-10-01,0.24973
1980-01-01,0.31408
1980-04-01,-2.08196
1980-07-01,-0.11893
1980-10-01,1.84775
1981-01-01,1.94047
1981-04-01,-0.74384
1981-07-01,1.19039
1981-10-01,-1.09558
1982-01-01,-1.56584
1982-04-01,0.45514
1982-07-01,-0.38300
1982-10-01,0.04000
1983-01-01,1.30918
1983-04-01,2.25002
1983-07-01,1.97924
1983-10-01,2.06472
1984-01-01,1.93593
1984-04-01,1.71301
1984-07-01,0.95939
1984-10-01,0.81742
1985-01-01,0.96431
1985-04-01,0.87662
1985-07-01,1.51573
1985-10-01,0.74070
1986-01-01,0.92942
1986-04-01,0.44929
1986-07-01,0.95212
1986-10-01,0.53496
