observation_date,GDPC1_PC1
1950-01-01,3.77286
1950-04-01,7.30336
1950-07-01,10.31016
1950-10-01,13.37239
1951-01-01,10.56488
1951-04-01,9.14992
1951-07-01,7.25300
1951-10-01,5.46816
1952-01-01,5.16533
1952-04-01,3.59627
1952-07-01,2.23736
1952-10-01,5.36408
1953-01-01,6.18988
1953-04-01,6.78199
1953-07-01,5.42099
1953-10-01,0.52406
1954-01-01,-1.78193
1954-04-01,-2.42878
1954-07-01,-0.76833
1954-10-01,2.72862
1955-01-01,6.17020
1955-04-01,7.78024
1955-07-01,8.01592
1955-10-01,6.57902
1956-01-01,3.21695
1956-04-01,2.40346
1956-07-01,0.94797
1956-10-01,1.99683
1957-01-01,3.04976
1957-04-01,1.98098
1957-07-01,3.07278
1957-10-01,0.35470
1958-01-01,-2.87229
1958-04-01,-2.01954
1958-07-01,-0.72596
1958-10-01,2.65733
1959-01-01,7.41511
1959-04-01,9.11883
1959-07-01,6.72622
1959-10-01,4.58494
1960-01-01,4.92380
1960-04-01,2.05910
1960-07-01,2.48766
1960-10-01,0.88510
1961-01-01,-0.66752
1961-04-01,1.56578
1961-07-01,3.01153
1961-10-01,6.39750
1962-01-01,7.56916
1962-04-01,6.73027
1962-07-01,6.00687
1962-10-01,4.30985
1963-01-01,3.60111
1963-04-01,3.82459
1963-07-01,4.81870
1963-10-01,5.15981
1964-01-01,6.21734
1964-04-01,6.18231
1964-07-01,5.52129
1964-10-01,5.15781
1965-01-01,5.47830
1965-04-01,5.66027
1965-07-01,6.34748
1965-10-01,8.46227
1966-01-01,8.47702
1966-04-01,7.48934
1966-07-01,6.04211
1966-10-01,4.50440
1967-01-01,2.92507
1967-04-01,2.63774
1967-07-01,2.73874
1967-10-01,2.67093
1968-01-01,3.84482
1968-04-01,5.51468
1968-07-01,5.33535
1968-10-01,4.95786
1969-01-01,4.46943
1969-04-01,3.06478
1969-07-01,2.94761
1969-10-01,2.04421
1970-01-01,0.32279
1970-04-01,0.16112
1970-07-01,0.42134
1970-10-01,-0.16735
1971-01-01,2.69716
1971-04-01,3.10644
1971-07-01,3.00528
1971-10-01,4.36555
1972-01-01,3.47251
1972-04-01,5.25138
1972-07-01,5.37836
1972-10-01,6.89181
1973-01-01,7.56118
1973-04-01,6.31955
1973-07-01,4.77135
1973-10-01,4.02406
1974-01-01,0.63900
1974-04-01,-0.20826
1974-07-01,-0.62904
1974-10-01,-1.94576
1975-01-01,-2.29977
1975-04-01,-1.83484
1975-07-01,0.79862
1975-10-01,2.55480
1976-01-01,6.15430
1976-04-01,6.17398
1976-07-01,4.95826
1976-10-01,4.31152
1977-01-01,3.22684
1977-04-01,4.46530
1977-07-01,5.76999
1977-10-01,5.01327
1978-01-01,4.11411
1978-04-01,6.07793
1978-07-01,5.24703
1978-10-01,6.65956
1979-01-01,6.51045
1979-04-01,2.65670
1979-07-01,2.38945
1979-10-01,1.28409
1980-01-01,1.42055
1980-04-01,-0.77507
1980-07-01,-1.62375
1980-10-01,-0.03905
1981-01-01,1.60000
1981-04-01,2.96867
