Year,Month,Return (%),Amount ($),CPI
1950,1,2.52%,102.52,23.50
1950,2,1.38%,103.93,23.50
1950,3,3.39%,107.45,23.60
1950,4,3.91%,111.66,23.60
1950,5,2.16%,114.08,23.70
1950,6,-6.72%,106.41,23.80
1950,7,6.64%,113.47,24.10
1950,8,4.11%,118.13,24.30
1950,9,4.72%,123.71,24.40
1950,10,0.38%,124.17,24.60
1950,11,0.19%,124.41,24.70
1950,12,8.01%,134.38,25.00
1951,1,4.31%,140.17,25.40
1951,2,-1.11%,138.61,25.70
1951,3,1.93%,141.28,25.80
1951,4,0.63%,142.17,25.80
1951,5,-1.15%,140.54,25.90
1951,6,2.37%,143.87,25.90
1951,7,4.97%,151.01,25.90
1951,8,3.14%,155.75,25.90
1951,9,0.03%,155.79,26.10
1951,10,-2.25%,152.28,26.20
1951,11,3.61%,157.79,26.40
1951,12,3.83%,163.83,26.50
1952,1,-1.33%,161.65,26.50
1952,2,0.75%,162.86,26.30
1952,3,0.20%,163.19,26.30
1952,4,0.46%,163.95,26.40
1952,5,3.24%,169.26,26.40
1952,6,3.37%,174.96,26.50
1952,7,0.88%,176.50,26.70
1952,8,-1.11%,174.55,26.70
1952,9,-1.61%,171.74,26.70
1952,10,3.67%,178.03,26.70
1952,11,4.51%,186.06,26.70
1952,12,0.99%,187.90,26.70
1953,1,-0.77%,186.45,26.60
1953,2,0.96%,188.23,26.50
1953,3,-4.47%,179.81,26.60
1953,4,1.00%,181.62,26.60
1953,5,-3.11%,175.97,26.70
1953,6,1.91%,179.34,26.80
1953,7,0.90%,180.95,26.80
1953,8,-4.11%,173.52,26.90
1953,9,3.52%,179.62,26.90
1953,10,2.71%,184.49,27.00
1953,11,1.84%,187.88,26.90
1953,12,3.02%,193.56,26.90
1954,1,2.68%,198.74,26.90
1954,2,2.58%,203.87,26.90
1954,3,4.45%,212.94,26.90
1954,4,4.42%,222.36,26.80
1954,5,1.22%,225.08,26.90
1954,6,4.46%,235.11,26.90
1954,7,2.39%,240.74,26.90
1954,8,2.74%,247.34,26.90
1954,9,2.71%,254.04,26.80
1954,10,4.30%,264.97,26.80
1954,11,4.95%,278.10,26.80
1954,12,2.17%,284.13,26.70
1955,1,3.70%,294.65,26.70
1955,2,-0.44%,293.37,26.70
1955,3,3.81%,304.54,26.70
1955,4,-0.08%,304.30,26.70
1955,5,6.15%,323.00,26.70
1955,6,7.64%,347.69,26.70
1955,7,-0.30%,346.65,26.80
1955,8,4.82%,363.34,26.80
1955,9,-4.72%,346.18,26.90
1955,10,7.07%,370.64,26.90
1955,11,1.24%,375.22,26.90
1955,12,-2.39%,366.26,26.80
1956,1,0.95%,369.74,26.80
1956,2,7.21%,396.39,26.80
1956,3,1.48%,402.26,26.80
1956,4,-2.84%,390.84,26.90
1956,5,-0.26%,389.82,27.00
1956,6,5.75%,412.23,27.20
1956,7,-0.28%,411.06,27.40
1956,8,-3.09%,398.36,27.30
1956,9,-0.95%,394.56,27.40
1956,10,-0.71%,391.75,27.50
1956,11,1.81%,398.84,27.50
1956,12,-1.86%,391.41,27.60
1957,1,-4.00%,375.77,27.60
1957,2,1.62%,381.86,27.70
1957,3,2.64%,391.95,27.80
1957,4,4.16%,408.26,27.90
1957,5,1.95%,416.24,28.00
1957,6,2.32%,425.90,28.10
1957,7,-5.21%,403.74,28.30
1957,8,-3.74%,388.64,28.30
1957,9,-5.90%,365.72,28.30
1957,10,-1.80%,359.14,28.30
1957,11,0.32%,360.28,28.40
1957,12,2.33%,368.67,28.40
1958,1,0.70%,371.26,28.60
1958,2,2.42%,380.24,28.60
1958,3,0.90%,383.65,28.80
1958,4,3.56%,397.29,28.90
1958,5,2.74%,408.16,28.90
1958,6,3.07%,420.70,28.90
1958,7,4.05%,437.75,29.00
1958,8,2.94%,450.64,28.90
1958,9,4.36%,470.28,28.90
1958,10,3.33%,485.92,28.90
1958,11,2.16%,496.43,29.00
1958,12,4.25%,517.55,28.90
1959,1,-1.27%,511.01,29.00
1959,2,2.81%,525.35,28.90
1959,3,1.94%,535.52,28.90
1959,4,1.77%,544.97,29.00
1959,5,-0.61%,541.67,29.00
1959,6,4.23%,564.57,29.10
1959,7,-0.32%,562.77,29.20
1959,8,-3.70%,541.93,29.20
1959,9,0.18%,542.89,29.30
1959,10,0.67%,546.52,29.40
1959,11,3.46%,565.45,29.40
1959,12,-1.49%,557.05,29.40
1960,1,-3.61%,536.94,29.30
1960,2,-1.08%,531.15,29.40
1960,3,1.58%,539.57,29.40
1960,4,-0.62%,536.20,29.50
1960,5,3.99%,557.58,29.50
1960,6,-2.20%,545.34,29.60
1960,7,1.49%,553.47,29.60
1960,8,-2.72%,538.41,29.60
1960,9,-1.67%,529.39,29.60
1960,10,3.54%,548.14,29.80
1960,11,2.69%,562.89,29.80
1960,12,5.43%,593.44,29.80
1961,1,4.37%,619.39,29.80
1961,2,3.40%,640.43,29.80
1961,3,2.92%,659.13,29.80
1961,4,1.26%,667.46,29.80
1961,5,-1.08%,660.25,29.80
1961,6,-0.03%,660.06,29.80
1961,7,3.84%,685.40,30.00
1961,8,-0.54%,681.69,29.90
1961,9,1.34%,690.84,30.00
1961,10,4.77%,723.81,30.00
1961,11,1.16%,732.23,30.00
1961,12,-3.49%,706.69,30.00
1962,1,1.91%,720.19,30.00
1962,2,0.34%,722.64,30.10
1962,3,-2.94%,701.36,30.10
1962,4,-7.19%,650.97,30.20
1962,5,-11.41%,576.68,30.20
1962,6,2.72%,592.35,30.20
1962,7,3.02%,610.25,30.30
1962,8,-0.59%,606.63,30.30
1962,9,-2.86%,589.31,30.40
1962,10,7.20%,631.74,30.40
1962,11,4.62%,660.95,30.40
1962,12,4.15%,688.36,30.40
1963,1,1.60%,699.34,30.40
1963,2,-0.11%,698.58,30.40
1963,3,4.98%,733.36,30.50
1963,4,2.27%,750.00,30.50
1963,5,0.22%,751.63,30.50
1963,6,-1.22%,742.45,30.60
1963,7,3.03%,764.95,30.70
1963,8,2.89%,787.08,30.70
1963,9,0.50%,791.02,30.70
1963,10,-0.31%,788.59,30.80
1963,11,2.39%,807.47,30.80
1963,12,3.33%,834.36,30.90
1964,1,1.48%,846.71,30.90
1964,2,2.07%,864.24,30.90
1964,3,1.69%,878.87,30.90
1964,4,1.22%,889.60,30.90
1964,5,-0.35%,886.48,30.90
1964,6,3.96%,921.59,31.00
1964,7,-1.23%,910.30,31.10
1964,8,1.97%,928.19,31.00
1964,9,1.97%,946.48,31.10
1964,10,0.94%,955.34,31.10
1964,11,-1.49%,941.11,31.20
