observation_date,UMCSENT
1953-01-01,90.7
1953-04-01,
1953-07-01,80.8
1953-10-01,80.7
1954-01-01,82.0
1954-04-01,82.9
1954-07-01,
1954-10-01,87.0
1955-01-01,95.9
1955-04-01,99.1
1955-07-01,
1955-10-01,99.7
1956-01-01,
1956-04-01,98.2
1956-07-01,99.9
1956-10-01,100.2
1957-01-01,
1957-04-01,92.9
1957-07-01,
1957-10-01,83.7
1958-01-01,78.5
1958-04-01,80.9
1958-07-01,
1958-10-01,90.8
1959-01-01,
1959-04-01,95.3
1959-07-01,
1959-10-01,93.8
1960-01-01,100.0
1960-04-01,93.3
1960-07-01,97.2
1960-10-01,90.1
1961-01-01,91.6
1961-04-01,92.5
1961-07-01,99.2
1961-10-01,93.0
1962-01-01,99.9
1962-04-01,95.4
1962-07-01,91.6
1962-10-01,95.0
1963-01-01,98.4
1963-04-01,91.7
1963-07-01,96.4
1963-10-01,94.4
1964-01-01,99.5
1964-04-01,98.5
1964-07-01,100.6
1964-10-01,99.9
1965-01-01,102.0
1965-04-01,105.4
1965-07-01,103.4
1965-10-01,102.9
1966-01-01,100.0
1966-04-01,95.7
1966-07-01,91.2
1966-10-01,88.3
1967-01-01,94.1
1967-04-01,95.9
1967-07-01,97.0
1967-10-01,92.9
1968-01-01,97.2
1968-04-01,92.4
1968-07-01,92.4
1968-10-01,91.7
1969-01-01,98.2
1969-04-01,91.5
1969-07-01,86.4
1969-10-01,79.7
1970-01-01,78.1
1970-04-01,75.4
1970-07-01,77.6
1970-10-01,72.4
1971-01-01,78.1
1971-04-01,80.2
1971-07-01,82.1
1971-10-01,82.0
1972-01-01,92.8
1972-04-01,88.6
1972-07-01,95.2
1972-10-01,90.7
1973-01-01,81.9
1973-04-01,77.0
1973-07-01,72.0
1973-10-01,76.5
1974-01-01,61.8
1974-04-01,72.1
1974-07-01,64.4
1974-10-01,59.5
1975-01-01,57.6
1975-04-01,72.8
1975-07-01,75.7
1975-10-01,75.6
1976-01-01,84.6
1976-04-01,83.3
1976-07-01,89.7
1976-10-01,87.0
1977-01-01,87.1
1977-04-01,90.2
1977-07-01,89.0
1977-10-01,84.4
1978-01-01,82.3
1978-04-01,81.5
1978-07-01,80.4
1978-10-01,73.5
1979-01-01,71.5
1979-04-01,66.6
1979-07-01,63.9
1979-10-01,62.1
1980-01-01,63.5
1980-04-01,54.4
1980-07-01,67.8
1980-10-01,72.1
1981-01-01,68.3
1981-04-01,73.9
1981-07-01,74.8
1981-10-01,65.7
1982-01-01,66.5
1982-04-01,66.2
1982-07-01,66.7
1982-10-01,72.5
1983-01-01,75.3
1983-04-01,91.5
1983-07-01,91.2
1983-10-01,91.5
1984-01-01,99.5
1984-04-01,96.6
1984-07-01,98.9
1984-10-01,95.0
1985-01-01,94.5
1985-04-01,94.3
1985-07-01,92.8
1985-10-01,91.1
1986-01-01,95.5
1986-04-01,96.8
1986-07-01,94.8
1986-10-01,92.0
1987-01-01,90.5
1987-04-01,91.8
1987-07-01,93.9
1987-10-01,86.4
1988-01-01,92.3
1988-04-01,93.6
1988-07-01,96.0
1988-10-01,93.0
1989-01-01,95.9
1989-04-01,90.9
1989-07-01,92.5
1989-10-01,91.8
1990-01-01,91.3
1990-04-01,90.9
1990-07-01,79.1
1990-10-01,65.1
1991-01-01,75.0
