Year,Quarter,GDP_Growth,Recession,Unemployment_Rate,Inflation_Rate,Gas_Prices,SP500_Return_Rate,Consumer_Confidence,Federal_Funds_Rate,Debt_Percent_Change,Egg_Price,President,President_Party,House_Majority,Senate_Majority,unified
1956,1,-0.3888,True,4.0,0.24882,0.0,9.830276725999987,98.95,2.48,-0.14824858741575575,-0.13833815487817036,Eisenhower,Republican,Democrats,Democrats,False
1956,2,0.82318,False,4.2,1.04647,0.88496,2.4795585799999964,98.2,2.69,-0.14824858741575575,-0.13833815487817036,Eisenhower,Republican,Democrats,Democrats,False
1956,3,-0.08974,True,4.1,2.01668,3.03711,-4.279415194000002,99.9,2.81,-0.14824858741575575,-0.13833815487817036,Eisenhower,Republican,Democrats,Democrats,False
1956,4,1.63251,False,4.1,2.58161,-0.85837,-0.7930719713999945,100.2,2.93,-0.14824858741575575,-0.13833815487817036,Eisenhower,Republican,Democrats,Democrats,False
1957,1,0.63823,False,3.9,3.41276,2.13228,0.13065727999999055,96.55000000000001,2.93,-0.2044423305342491,-1.21985837643811,Eisenhower,Republican,Democrats,Democrats,False
1957,2,-0.21938,True,4.1,3.61238,0.97971,8.654753984000019,92.9,3.0,-0.2044423305342491,-1.21985837643811,Eisenhower,Republican,Democrats,Democrats,False
1957,3,0.97515,False,4.2,3.46553,-0.69881,-14.138592386000004,88.30000000000001,3.23,-0.2044423305342491,-1.21985837643811,Eisenhower,Republican,Democrats,Democrats,False
1957,4,-1.03993,True,4.9,3.0853,-0.2809,0.8096217920000148,83.7,3.25,-0.2044423305342491,-1.21985837643811,Eisenhower,Republican,Democrats,Democrats,False
1958,1,-2.63019,True,6.3,3.45614,-1.13155,4.065172459999999,78.5,1.87,0.5331937411358734,1.2538308352753935,Eisenhower,Republican,Democrats,Democrats,False
1958,2,0.65475,False,7.4,3.27225,-0.71378,9.663948600799998,80.9,0.94,0.5331937411358734,1.2538308352753935,Eisenhower,Republican,Democrats,Democrats,False
1958,3,2.28676,False,7.3,2.2998,2.68567,11.779025452000024,85.85,1.32,0.5331937411358734,1.2538308352753935,Eisenhower,Republican,Democrats,Democrats,False
1958,4,2.31131,False,6.4,1.91315,-3.1164,10.04830994000001,90.8,2.16,0.5331937411358734,1.2538308352753935,Eisenhower,Republican,Democrats,Democrats,False
1959,1,1.90024,False,5.8,0.89317,0.0,3.473496672200005,93.05,2.58,0.7481121498015497,-3.5174499961285965,Eisenhower,Republican,Democrats,Democrats,False
1959,2,2.22842,False,5.1,0.39175,1.71188,5.427814286900001,95.3,3.08,0.7481121498015497,-3.5174499961285965,Eisenhower,Republican,Democrats,Democrats,False
