Year,Team,Average Ticket Price
2015,chn,44.31
2016,chn,51.33
2017,chn,66
2018,chn,59.57
2015,sln,34.2
2016,sln,35.24
2017,sln,47
2018,sln,35.54
2015,ana,27.54
2016,ana,32.7
2017,ana,30
2018,ana,30.26
2015,alt,19.14
2016,alt,19.38
2017,alt,
2018,alt,31.72
2015,bal,24.97
2016,bal,29.96
2017,bal,
2018,bal,29.95
2015,bos,52.34
2016,bos,54.79
2017,bos,
2018,bos,56.97
2015,cle,22.38
2016,cle,25.61
2017,cle,
2018,cle,30.04
2015,col,23.65
2016,col,23.99
2017,col,
2018,col,26.02
2015,min,31.25
2016,min,31.72
2017,min,31.72
2018,min,32.68
2015,nyn,25.3
2016,nyn,26.02
2017,nyn,
2018,nyn,27.6
2015,pit,19.99
2016,pit,29.96
2017,pit,
2018,pit,23.43
2015,sdn,16.37
2016,sdn,23.71
2017,sdn,
2018,sdn,21.78
2015,sfn,33.78
2016,sfn,35.76
2017,sfn,
2018,sfn,38.3
2015,tex,23.64
2016,tex,23.64
2017,tex,
2018,tex,26.94
2015,tor,25.14
2016,tor,31.01
2017,tor,
2018,tor,26.07
2015,cle,22.38
2016,cle,25.61
2017,cle,
2018,cle,30.04
2015,det,29.01
2016,det,28.88
2017,det,
2018,det,28.15
2015,hou,31.82
2016,hou,37.25
2017,hou,
2018,hou,40.25
2015,kca,29.76
2016,kca,26.88
2017,kca,
2018,kca,33.58
2015,lan,28.61
2016,lan,31.9
2017,lan,
2018,lan,41.13
2015,sea,31
2016,sea,28.75
2017,sea,
2018,sea,37.33
2015,tba,21.9
2016,tba,21.04
2017,tba,
2018,tba,21.6
2015,was,36.02
2016,was,36.59
2017,was,
2018,was,42.02
2015,mia,28.96
2016,mia,28.31
2017,mia,
2018,mia,31.76
2015,oak,24
2016,oak,24.46
2017,oak,
2018,oak,24.13
2015,phi,37.42
2016,phi,41.5
2017,phi,
2018,phi,36.04
2015,ari,17.98
2016,ari,18.53
2017,ari,
2018,ari,19.65
2015,nya,51.55
2016,nya,51.55
2017,nya,
2018,nya,47.62
2015,mil,26.32
2016,mil,26.32
2017,mil,
2018,mil,26.1
2015,cin,22.03
2016,cin,22.01
2017,cin,
2018,cin,21.14
